Company,Role Title,Segment / Industry,Location,Direct Job Link,Fit Flag,Notes
"Figma","Business Operations","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5665514004?gh_jid=5665514004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Demo Strategy & Effectiveness Manager ","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5628218004?gh_jid=5628218004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Product Manager, AI","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5574247004?gh_jid=5574247004","⚠️ Stretch","NYC • GH"
"Figma","Product Manager, Creation Engine","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5632187004?gh_jid=5632187004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Product Manager, Scale","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5641078004?gh_jid=5641078004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Product Marketing Manager, Emerging Products","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5644790004?gh_jid=5644790004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Researcher, Core Product Strategy","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5651744004?gh_jid=5651744004","⚠️ Stretch","NYC • ≤60d • GH"
"Figma","Workforce Strategy Manager, Product Support ","SaaS Productivity","NYC","https://boards.greenhouse.io/figma/jobs/5478269004?gh_jid=5478269004","⚠️ Stretch","NYC • GH"
"Alchemy","Product Marketing Manager","","NYC","https://job-boards.greenhouse.io/alchemy/jobs/4616104005","⚠️ Stretch","NYC • ≤60d • GH"
"Coinbase","Associate, Base Ecosystem","","Remote","https://www.coinbase.com/careers/positions/7244052?gh_jid=7244052","⚠️ Stretch","remote-first • ≤60d • GH"
"Coinbase","Business Operations Senior Associate / Manager, Platform","","Remote","https://www.coinbase.com/careers/positions/7087061?gh_jid=7087061","✅ Strong Fit","remote-first • ≤60d • GH"
